127.0.0.1 - - [13/Feb/2023:09:04:44 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:04:45 -0500] "GET /MiChaucheritaWebApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:04:47 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:04:57 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=nuevo HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:05:01 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardar HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:05:03 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=listarMovimientosDeCuenta&idCuenta=1 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:05:04 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:07:44 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardar HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:07:47 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=nuevo HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:04 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardar HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:10 -0500] "GET /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardar HTTP/1.1" 500 1485
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:17 -0500] "POST /MiChaucheritaWebApp/GestionarCuentaController?ruta=guardar HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:20 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=listarMovimientosDeCuenta&idCuenta=6 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:22 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:25 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:26 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:26 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:26 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:27 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:27 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:27 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:27 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:27 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:27 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:28 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [13/Feb/2023:09:08:28 -0500] "GET /MiChaucheritaWebApp/GestionarMovimientosController?ruta=verDetalleMovimiento&idMovimiento=1 HTTP/1.1" 200 498
